PLATFORM,ARGOS_ID,DATE (YYYY/MM/DD HH:MI:SS),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,PARAMETER,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,274.4,15.374,39.047,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,284.5,15.268,39.031,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,294.2,15.13,39.014,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,304.5,15.005,38.986,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,314.4,14.908,38.972,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,324.5,14.808,38.957,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,334.3,14.708,38.942,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,344.1,14.622,38.928,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,354.1,14.565,38.919,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,363.9,14.522,38.912,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,372.8,14.493,38.908,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,381.2,14.463,38.902,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
