Site,Age (Ma),Genus,d18O,d13C
747,20.3232,CIB,2.06,1.29
747,20.3232,CIB,2.20,0.97
1090,20.3246,CIBS,2.24,0.81
926/929,20.3249,,1.55,0.53
1090,20.3297,CIBS,2.53,0.59
1090,20.3358,CIBS,2.54,0.81
926/929,20.3371,,1.92,0.45
1090,20.3387,CIBS,2.41,0.51
1090,20.3395,CIBS,2.38,0.48
926/929,20.3402,,2.12,0.34
926/929,20.3453,,2.09,0.46
1090,20.3461,CIBS,2.31,0.72
926/929,20.3477,,1.97,0.69
1090,20.3498,CIBS,2.31,0.64
926/929,20.3501,,1.79,0.68
926/929,20.3524,,1.72,0.74
1090,20.3534,CIBS,2.21,0.57
926/929,20.3548,,1.88,0.78
1090,20.3571,CIBS,2.36,0.55
926/929,20.3572,,2.00,0.83
926/929,20.3595,,2.00,0.79
1090,20.3608,CIBS,1.95,0.52
926/929,20.3617,,1.94,0.72
926/929,20.3636,,1.99,0.78
926/929,20.3660,,1.92,0.71
1090,20.368,CIBS,2.46,0.46
926/929,20.3681,,1.89,0.74
926/929,20.3703,,2.02,0.75
747,20.3708,CIB,2.15,1.11
926/929,20.3724,,2.01,0.72
926/929,20.3775,,1.81,0.59
926/929,20.3810,,2.00,0.70
1090,20.3824,CIBS,2.71,0.66
926/929,20.3845,,1.94,0.73
704,20.3853,CIB,2.24,0.75
926/929,20.3879,,2.06,0.71
1090,20.391,CIBS,1.93,0.22
926/929,20.3914,,1.76,0.73
1218,20.3920,Cibicidoides spp.,2.12,
1090,20.3968,CIBS,1.70,0.20
926/929,20.3984,,1.73,0.62
926/929,20.4018,,1.73,0.60
1090,20.4035,CIBS,1.90,0.59
926/929,20.4053,,1.87,0.60
926/929,20.4088,,1.87,0.53
1090,20.4101,CIBS,2.07,0.63
926/929,20.4157,,1.81,0.56
1090,20.4168,CIBS,2.74,0.74
926/929,20.4192,,1.81,0.61
926/929,20.4227,,1.64,0.55
1090,20.4246,CIBS,2.20,0.54
926/929,20.4269,,1.53,0.55
704,20.4299,CIB,2.33,0.61
926/929,20.4319,,1.71,0.78
1090,20.4325,CIBS,2.16,0.31
926/929,20.4369,,1.57,0.62
1090,20.4403,CIBS,2.07,0.50
926/929,20.4419,,1.71,0.74
926/929,20.4459,,1.45,0.51
926/929,20.4489,,1.55,0.53
747,20.4501,CIB,2.28,1.14
926/929,20.4519,,1.63,0.38
926/929,20.4549,,1.53,0.52
1090,20.456,CIBS,2.31,0.67
926/929,20.4579,,1.83,0.42
926/929,20.4609,,1.87,0.22
926/929,20.4640,,2.02,0.23
1090,20.4654,CIBS,2.32,0.89
926/929,20.4670,,1.79,0.76
926/929,20.4701,,1.77,0.51
1090,20.4717,CIBS,2.41,0.67
926/929,20.4732,,1.70,0.59
926/929,20.4762,,1.85,0.86
926/929,20.4793,,1.80,0.80
1090,20.4796,CIBS,2.16,0.60
926/929,20.4824,,1.72,0.87
704,20.4835,CIB,2.06,0.64
704,20.4835,CIB,2.10,0.76
1090,20.4874,CIBS,1.88,0.32
926/929,20.4946,,1.91,0.68
1090,20.4953,CIBS,2.38,0.87
926/929,20.4977,,,0.77
926/929,20.5008,,1.77,0.82
1090,20.5031,CIBS,2.28,0.66
926/929,20.5038,,1.72,0.62
926/929,20.5069,,1.63,0.86
926/929,20.5103,,1.77,0.82
1090,20.5109,CIBS,2.27,1.02
926/929,20.5139,,1.81,0.96
926/929,20.5176,,1.70,0.74
1090,20.5188,CIBS,1.90,0.23
926/929,20.5213,,1.91,0.73
926/929,20.5249,,1.93,0.81
1090,20.5252,CIBS,2.38,0.93
77,20.5256,CIB,2.04,0.56
704,20.5281,CIB,2.36,0.82
926/929,20.5286,,2.03,0.66
1090,20.5316,CIBS,2.37,0.75
926/929,20.5317,,2.21,0.78
588,20.5318,,2.22,1.27
926/929,20.5343,,2.23,0.86
926/929,20.5370,,2.04,0.75
1090,20.5392,CIBS,2.83,0.86
926/929,20.5396,,2.03,0.76
926/929,20.5422,,1.80,0.67
1090,20.5443,CIBS,2.20,0.42
926/929,20.5448,,2.09,0.86
747,20.5468,CIB,1.99,0.77
926/929,20.5474,,2.13,0.82
926/929,20.5500,,2.18,0.89
1090,20.5507,CIBS,2.69,0.89
926/929,20.5526,,1.63,0.77
926/929,20.5552,,1.89,1.00
1090,20.5571,CIBS,2.71,0.86
926/929,20.5578,,1.95,1.00
926/929,20.5604,,2.01,0.91
1090,20.5648,CIBS,2.22,0.96
926/929,20.5655,,2.11,0.96
1090,20.5699,CIBS,2.65,1.11
926/929,20.5707,,1.99,0.88
926/929,20.5758,,2.14,0.74
1090,20.5763,CIBS,2.51,1.10
926/929,20.5809,,1.77,0.92
1090,20.5826,CIBS,2.21,1.09
926/929,20.5851,,2.32,0.86
926/929,20.5886,,2.26,0.87
1090,20.589,CIBS,2.41,0.63
926/929,20.5920,,2.07,0.92
926/929,20.5954,,2.12,0.91
704,20.5975,CIB,2.17,0.60
926/929,20.5988,,2.15,1.07
1090,20.6018,CIBS,1.59,0.13
926/929,20.6022,,2.16,0.65
926/929,20.6056,,2.12,0.95
1090,20.6069,CIBS,2.62,0.70
926/929,20.6091,,1.98,
1090,20.612,CIBS,1.86,0.47
926/929,20.6125,,2.14,
926/929,20.6159,,2.06,0.88
1090,20.6171,CIBS,2.43,0.41
926/929,20.6193,,2.21,0.82
1090,20.6222,CIBS,1.90,0.25
926/929,20.6227,,2.30,0.66
926/929,20.6258,,2.36,0.68
1090,20.6273,CIBS,2.36,0.81
926/929,20.6285,,2.50,0.72
926/929,20.6312,,2.48,0.83
1090,20.6325,CIBS,2.43,0.90
926/929,20.6340,,1.92,1.00
926/929,20.6367,,2.42,0.77
1090,20.6376,CIBS,2.79,0.92
926/929,20.6394,,2.38,0.89
926/929,20.6421,,2.27,0.89
926/929,20.6448,,2.25,0.88
926/929,20.6476,,2.24,0.98
1090,20.6478,CIBS,2.58,1.02
926/929,20.6503,,2.24,0.71
926/929,20.6530,,1.91,0.83
1090,20.6554,CIBS,2.73,1.10
926/929,20.6557,,2.33,0.78
704,20.6564,CIB,2.72,0.64
1218,20.6580,Cibicidoides spp.,2.49,0.82
926/929,20.6584,,2.27,0.85
1090,20.6604,CIBS,2.76,1.12
926/929,20.6622,,2.33,0.78
926/929,20.6661,,2.25,0.60
1090,20.6667,CIBS,2.82,1.16
926/929,20.6699,,2.11,0.83
1090,20.6731,CIBS,2.74,1.01
926/929,20.6737,,2.02,0.88
1090,20.6794,CIBS,2.80,0.99
926/929,20.6813,,2.21,0.88
926/929,20.6851,,2.19,0.81
747,20.6880,CIB,2.05,0.77
1090,20.692,CIBS,2.81,1.02
926/929,20.6927,,1.94,0.83
926/929,20.6965,,2.11,0.85
926/929,20.6999,,2.25,0.67
926/929,20.7028,,2.32,0.67
1090,20.7046,CIBS,2.52,0.74
926/929,20.7058,,1.95,0.93
926/929,20.7117,,2.07,0.58
926/929,20.7146,,2.17,0.86
926/929,20.7175,,1.94,0.92
1090,20.7198,CIBS,1.56,0.27
926/929,20.7205,,2.21,0.94
704,20.7226,CIB,2.23,0.76
926/929,20.7234,,2.29,0.79
754,20.7279,CIB,1.75,1.38
926/929,20.7293,,,0.66
1090,20.7299,CIBS,2.45,0.63
926/929,20.7322,,1.81,0.54
926/929,20.7352,,2.09,0.65
1090,20.7362,CIBS,2.75,0.76
926/929,20.7381,,2.12,0.63
77,20.7406,CIB,1.66,0.44
926/929,20.7410,,2.08,0.58
1090,20.7425,CIBS,2.52,0.58
926/929,20.7443,,2.07,0.54
1090,20.7488,CIBS,2.67,0.94
926/929,20.7502,,2.38,0.55
926/929,20.7534,,2.08,0.76
1090,20.7552,CIBS,2.53,0.66
926/929,20.7566,,1.98,0.81
926/929,20.7598,,1.86,0.84
1090,20.7615,CIBS,2.34,0.66
926/929,20.7630,,1.74,0.85
926/929,20.7662,,1.88,0.93
1090,20.7678,CIBS,2.10,0.55
1090,20.7708,CIBS,2.57,0.79
1218,20.7720,Cibicidoides spp.,1.95,0.81
926/929,20.7726,,1.65,1.08
1090,20.7752,CIBS,2.30,0.78
926/929,20.7776,,1.96,0.80
1090,20.7826,CIBS,2.36,0.82
926/929,20.7827,,1.84,0.71
747,20.7847,CIB,2.19,0.86
926/929,20.7878,,2.02,0.53
704,20.7887,CIB,2.05,0.66
1090,20.79,CIBS,2.08,0.69
926/929,20.7934,,1.66,0.88
1090,20.7989,CIBS,1.98,0.73
1090,20.8048,CIBS,1.68,0.55
926/929,20.8059,,1.70,0.90
926/929,20.8121,,1.87,0.91
1090,20.8137,CIBS,2.08,0.31
926/929,20.8184,,1.88,0.67
1090,20.8197,CIBS,2.35,0.70
926/929,20.8246,,1.81,0.63
1090,20.8271,CIBS,2.08,0.27
1090,20.8345,CIBS,1.99,0.87
926/929,20.8397,,1.74,0.69
1090,20.8434,CIBS,2.30,0.94
926/929,20.8484,,1.65,0.65
1090,20.8508,CIBS,1.49,0.33
1090,20.8556,CIBS,2.36,0.60
926/929,20.8570,,1.82,0.72
704,20.8621,CIB,2.02,0.85
926/929,20.8657,,1.97,0.65
1090,20.8689,CIBS,2.31,0.37
926/929,20.8744,,1.83,0.59
1090,20.881,CIBS,2.58,0.68
926/929,20.8829,,1.82,0.62
588,20.8868,,1.94,1.00
926/929,20.8888,,1.74,0.61
1090,20.8918,CIBS,2.35,0.25
926/929,20.8948,,1.95,0.66
1090,20.8991,CIBS,2.63,0.43
926/929,20.9008,,1.92,0.88
1090,20.9051,CIBS,3.20,0.59
926/929,20.9068,,2.18,0.86
1218,20.9080,Cibicidoides spp.,2.17,0.84
1090,20.9106,CIBS,2.53,0.88
926/929,20.9128,,1.96,0.91
1090,20.915,CIBS,2.42,0.53
1218,20.9170,Cibicidoides spp.,2.12,
926/929,20.9188,,1.99,0.94
1090,20.9205,CIBS,2.16,0.39
926/929,20.9248,,2.18,1.03
747,20.9259,CIB,2.17,0.89
1090,20.926,CIBS,2.54,0.58
926/929,20.9308,,2.23,1.05
926/929,20.9356,,2.14,0.84
1090,20.9436,CIBS,2.76,0.61
926/929,20.9487,,1.90,1.12
1090,20.9491,CIBS,3.34,1.18
1090,20.9547,CIBS,2.36,0.93
926/929,20.9547,,2.10,1.05
926/929,20.9607,,1.97,1.10
926/929,20.9655,,2.20,1.11
1090,20.9659,CIBS,2.25,0.54
704,20.9721,CIB,2.17,0.97
926/929,20.9727,,2.21,1.07
926/929,20.9816,,2.22,1.03
1090,20.9879,CIBS,2.31,0.90
926/929,20.9900,,2.23,1.01
926/929,20.9957,,2.28,1.09
1090,21.0005,CIBS,2.11,0.38
926/929,21.0014,,1.94,1.06
926/929,21.0075,,2.25,1.09
1090,21.0109,CIBS,2.58,0.61
926/929,21.0140,,2.16,0.96
1090,21.0193,CIBS,2.60,0.78
926/929,21.0205,,2.19,0.79
747,21.0235,CIB,2.28,0.69
1218,21.0260,Cibicidoides spp.,2.07,0.82
926/929,21.0270,,2.16,0.98
1218,21.0290,Cibicidoides spp.,2.41,0.85
1090,21.0319,CIBS,3.54,1.23
926/929,21.0335,,2.08,0.97
926/929,21.0387,,2.03,1.04
1090,21.0411,CIBS,2.61,0.76
926/929,21.0476,,2.08,0.85
1090,21.0504,CIBS,2.94,0.44
926/929,21.0566,,2.22,0.92
1090,21.0578,CIBS,2.36,0.86
704,21.0600,CIB,2.00,0.67
77,21.0626,CIB,1.91,0.96
926/929,21.0656,,2.28,0.88
926/929,21.0728,,2.38,0.68
926/929,21.0835,,2.17,0.73
1090,21.0855,CIBS,2.75,0.91
926/929,21.0925,,1.98,0.97
926/929,21.1015,,1.92,0.93
1090,21.1058,CIBS,3.64,1.57
1218,21.1100,Cibicidoides spp.,2.89,0.95
926/929,21.1136,,2.00,0.94
1090,21.1155,CIBS,2.70,1.06
588,21.1183,,1.87,1.06
1090,21.1252,CIBS,2.49,0.79
926/929,21.1269,,1.89,0.66
926/929,21.1331,,2.13,0.51
1090,21.1349,CIBS,2.65,1.42
1090,21.1388,CIBS,2.55,0.68
1090,21.1436,CIBS,2.47,0.70
704,21.1479,CIB,2.11,0.80
1090,21.1494,CIBS,2.56,0.74
926/929,21.1517,,2.02,0.91
926/929,21.1565,,2.18,1.13
1090,21.1591,CIBS,2.28,0.98
754,21.1595,CIB,1.92,1.45
926/929,21.1643,,2.56,0.69
1090,21.1688,CIBS,1.90,0.77
926/929,21.1697,,2.53,0.72
1090,21.173,CIBS,2.79,1.04
926/929,21.1758,,1.96,0.72
558,21.1771,CIB,1.67,0.89
926/929,21.1818,,2.78,0.62
1218,21.1840,Cibicidoides spp.,2.83,
926/929,21.1914,,2.28,0.62
926/929,21.1941,,2.11,0.89
926/929,21.1981,,2.11,0.88
77,21.2010,CIB,1.14,0.66
926/929,21.2014,,1.93,0.88
1090,21.2025,CIBS,1.83,0.48
926/929,21.2051,,1.92,0.97
1090,21.2075,CIBS,3.36,1.12
926/929,21.2081,,2.01,0.81
926/929,21.2114,,2.02,0.93
1090,21.2125,CIBS,2.58,0.55
926/929,21.2148,,2.21,0.85
926/929,21.2181,,2.28,0.74
1090,21.2214,CIBS,2.30,0.53
926/929,21.2214,,2.24,0.75
926/929,21.2248,,2.18,0.81
588,21.2264,,2.00,1.10
926/929,21.2284,,1.94,0.68
926/929,21.2323,,1.98,0.76
1090,21.2324,CIBS,2.71,0.90
926/929,21.2362,,1.92,0.82
1090,21.2373,CIBS,2.44,0.86
926/929,21.2400,,1.96,0.72
1090,21.2423,CIBS,2.42,0.91
747,21.2434,CIB,2.37,1.11
926/929,21.2439,,1.70,0.84
1090,21.2463,CIBS,1.97,0.48
926/929,21.2478,,1.72,0.78
926/929,21.2517,,1.61,0.60
360,21.2552,CIB,2.37,0.94
926/929,21.2556,,1.90,0.76
926/929,21.2595,,1.96,0.71
1218,21.2610,Cibicidoides spp.,2.86,1.05
926/929,21.2631,,2.06,0.45
926/929,21.2665,,1.95,0.66
926/929,21.2699,,1.81,0.69
926/929,21.2733,,1.68,0.85
926/929,21.2767,,1.67,1.04
926/929,21.2800,,1.69,1.03
926/929,21.2868,,1.73,0.90
926/929,21.2902,,1.78,0.74
926/929,21.2936,,1.79,0.74
360,21.2942,CIB,2.06,0.81
926/929,21.2970,,1.93,0.63
926/929,21.3004,,2.08,0.65
926/929,21.3041,,2.05,0.80
926/929,21.3071,,2.28,0.67
926/929,21.3101,,2.04,0.87
926/929,21.3138,,2.28,0.70
926/929,21.3172,,1.93,1.00
926/929,21.3205,,1.72,1.13
926/929,21.3239,,1.73,1.12
926/929,21.3273,,1.82,0.58
926/929,21.3306,,1.73,1.24
77,21.3322,CIB,2.10,1.06
360,21.3332,CIB,1.96,1.01
926/929,21.3343,,1.87,1.22
926/929,21.3373,,1.83,0.89
1218,21.3390,Cibicidoides spp.,2.26,0.82
926/929,21.3407,,1.81,0.93
926/929,21.3440,,1.69,0.82
926/929,21.3474,,1.76,0.66
926/929,21.3508,,1.91,0.75
926/929,21.3541,,1.69,0.92
1090,21.3567,CIBS,2.74,0.57
926/929,21.3573,,1.87,0.86
926/929,21.3606,,1.63,1.03
1090,21.3617,CIBS,2.60,0.16
926/929,21.3632,,1.68,0.95
926/929,21.3671,,1.84,0.96
1090,21.3672,CIBS,2.02,0.17
926/929,21.3704,,1.81,0.95
1090,21.373,CIBS,2.56,0.65
926/929,21.3736,,2.03,1.05
926/929,21.3769,,2.17,1.12
1090,21.3788,CIBS,2.57,0.63
926/929,21.3801,,2.20,0.97
1090,21.3834,CIBS,2.68,0.68
926/929,21.3834,,2.24,0.87
926/929,21.3867,,2.23,0.97
1090,21.3892,CIBS,3.11,1.24
926/929,21.3899,,2.09,0.95
926/929,21.3932,,2.22,0.97
747,21.3941,CIB,2.11,0.85
747,21.3941,CIB,2.16,0.83
1090,21.3962,CIBS,2.65,0.65
926/929,21.3965,,2.07,1.11
926/929,21.3997,,2.02,1.16
1090,21.402,CIBS,2.32,0.65
926/929,21.4030,,1.95,1.09
926/929,21.4062,,2.10,1.04
1090,21.4078,CIBS,2.74,0.83
926/929,21.4095,,1.71,0.94
926/929,21.4128,,1.86,0.91
704,21.4131,CIB,2.13,0.97
1090,21.4136,CIBS,2.54,0.93
1218,21.4160,Cibicidoides spp.,2.44,0.59
926/929,21.4160,,2.04,1.02
926/929,21.4193,,2.06,0.93
926/929,21.4225,,2.14,0.98
1090,21.4252,CIBS,2.50,1.10
926/929,21.4258,,2.12,0.94
926/929,21.4291,,1.93,1.07
1090,21.4296,CIBS,2.02,0.76
926/929,21.4323,,1.89,0.65
1090,21.434,CIBS,2.12,0.96
926/929,21.4356,,1.92,0.61
1090,21.4375,CIBS,2.27,0.72
926/929,21.4388,,1.89,1.15
926/929,21.4388,,1.57,1.09
926/929,21.4421,,1.93,0.48
926/929,21.4453,,1.95,0.62
1090,21.4463,CIBS,2.26,0.63
926/929,21.4486,,1.90,0.79
1090,21.4507,CIBS,2.45,0.54
926/929,21.4519,,1.71,1.14
926/929,21.4551,,1.81,0.89
1090,21.456,CIBS,2.24,0.72
926/929,21.4580,,1.79,0.97
926/929,21.4616,,1.62,1.12
1090,21.4639,CIBS,2.46,0.79
926/929,21.4649,,1.99,0.39
926/929,21.4681,,1.70,0.68
1090,21.4683,CIBS,2.34,0.61
926/929,21.4718,,2.07,0.49
1090,21.4727,CIBS,2.03,0.49
926/929,21.4758,,2.01,0.61
926/929,21.4798,,1.69,0.85
1090,21.4815,CIBS,2.36,0.58
926/929,21.4830,,1.66,1.11
926/929,21.4878,,1.68,1.00
1090,21.4903,CIBS,1.80,0.13
926/929,21.4918,,1.63,0.90
1218,21.4930,Cibicidoides spp.,1.93,0.89
926/929,21.4958,,1.69,0.82
926/929,21.4998,,1.78,0.72
1090,21.5,CIBS,2.16,0.50
926/929,21.5038,,1.74,0.73
608,21.5066,CIB,2.17,0.87
926/929,21.5069,,1.88,0.78
926/929,21.5094,,1.82,0.82
926/929,21.5118,,1.77,0.84
926/929,21.5143,,1.67,0.73
1090,21.5167,CIBS,2.05,1.16
926/929,21.5170,,1.61,0.84
926/929,21.5190,,1.64,0.85
1090,21.5211,CIBS,2.15,0.75
926/929,21.5217,,1.64,0.94
926/929,21.5242,,,0.60
1090,21.5255,CIBS,1.95,0.71
926/929,21.5266,,1.66,0.98
926/929,21.5286,,1.68,0.88
1090,21.5299,CIBS,1.96,0.03
926/929,21.5316,,1.63,0.95
926/929,21.5340,,1.58,0.78
1090,21.5347,CIBS,2.08,0.98
926/929,21.5365,,1.65,0.56
926/929,21.5390,,1.41,0.54
1090,21.5394,CIBS,2.53,0.70
926/929,21.5414,,1.87,0.52
926/929,21.5441,,1.86,0.44
926/929,21.5469,,1.83,0.65
926/929,21.5497,,1.75,0.75
1218,21.5500,Cibicidoides spp.,2.98,1.10
926/929,21.5525,,1.65,0.77
1090,21.5537,CIBS,2.38,0.66
926/929,21.5553,,1.67,0.85
926/929,21.5573,,1.68,0.91
1090,21.5585,CIBS,2.45,0.50
926/929,21.5609,,1.70,0.80
1090,21.5632,CIBS,2.17,0.49
926/929,21.5637,,1.80,0.91
926/929,21.5665,,1.80,0.82
1090,21.568,CIBS,2.49,0.41
926/929,21.5693,,1.84,0.75
1218,21.5700,Cibicidoides spp.,2.48,1.16
926/929,21.5721,,1.91,0.81
1090,21.5728,CIBS,2.53,0.63
926/929,21.5749,,1.94,0.71
1090,21.5775,CIBS,2.64,0.51
926/929,21.5777,,1.88,0.82
754,21.5798,CIB,1.52,1.40
926/929,21.5811,,1.90,0.60
588,21.5814,,2.16,1.24
1090,21.5823,CIBS,2.65,0.81
926/929,21.5833,,1.62,0.50
926/929,21.5863,,1.96,0.61
1090,21.587,CIBS,2.52,0.19
926/929,21.5895,,2.08,0.64
1090,21.5927,CIBS,2.48,0.45
926/929,21.5927,,1.90,0.51
926/929,21.5953,,1.74,0.70
1090,21.5975,CIBS,2.35,0.31
926/929,21.5991,,1.73,0.74
1090,21.6013,CIBS,2.29,0.63
926/929,21.6023,,1.44,0.57
926/929,21.6055,,1.43,0.47
1090,21.6061,CIBS,2.24,0.29
926/929,21.6087,,1.65,0.71
1090,21.6089,CIBS,2.14,0.47
926/929,21.6119,,1.72,0.67
747,21.6140,CIB,2.41,1.02
926/929,21.6141,,1.82,0.78
1090,21.6156,CIBS,2.37,0.70
926/929,21.6183,,1.75,0.73
1090,21.6193,CIBS,2.25,0.53
926/929,21.6215,,1.49,0.44
1090,21.6229,CIBS,2.37,0.39
926/929,21.6246,,1.44,0.34
1090,21.6266,CIBS,2.12,0.47
1218,21.6270,Cibicidoides spp.,2.45,0.99
926/929,21.6278,,1.57,0.61
1090,21.6303,CIBS,2.23,0.30
926/929,21.6311,,1.63,0.64
926/929,21.6344,,1.77,0.76
1090,21.6346,CIBS,1.77,0.25
1090,21.6376,CIBS,1.96,0.51
926/929,21.6378,,1.44,0.86
926/929,21.6411,,1.28,0.55
1090,21.6412,CIBS,1.93,0.61
926/929,21.6444,,1.28,0.37
1090,21.6449,CIBS,1.79,0.33
926/929,21.6478,,1.39,0.46
1218,21.6480,Cibicidoides spp.,2.37,0.89
1090,21.6502,CIBS,2.88,0.79
926/929,21.6511,,1.73,0.82
926/929,21.6544,,1.81,0.77
1090,21.6556,CIBS,2.56,0.36
926/929,21.6578,,1.67,0.89
1090,21.6609,CIBS,2.63,0.47
926/929,21.6611,,1.67,0.87
926/929,21.6637,,1.88,0.87
1090,21.6662,CIBS,2.68,0.61
926/929,21.6676,,1.70,0.72
926/929,21.6708,,1.67,0.92
926/929,21.6741,,1.64,1.01
926/929,21.6773,,1.60,0.95
926/929,21.6806,,1.66,1.06
926/929,21.6839,,1.66,1.14
926/929,21.6871,,1.61,0.97
588,21.6894,,2.09,1.00
926/929,21.6904,,1.62,0.87
926/929,21.6936,,1.67,0.82
926/929,21.6969,,1.59,0.82
926/929,21.6995,,1.62,0.84
1090,21.7035,CIBS,2.14,0.81
926/929,21.7048,,1.71,0.80
1218,21.7050,Cibicidoides spp.,2.37,1.12
926/929,21.7081,,1.69,0.60
1090,21.7088,CIBS,2.15,0.63
926/929,21.7123,,,0.57
1090,21.7141,CIBS,1.83,0.65
926/929,21.7156,,1.54,0.83
1090,21.7195,CIBS,1.94,0.42
926/929,21.7206,,1.35,0.61
926/929,21.7248,,1.37,0.82
1090,21.7248,CIBS,2.10,0.96
1218,21.7250,Cibicidoides spp.,,0.78
926/929,21.7288,,1.45,0.68
1090,21.7301,CIBS,2.00,0.60
926/929,21.7327,,1.68,0.99
926/929,21.7366,,1.59,0.96
926/929,21.7406,,1.48,0.85
1090,21.7441,CIBS,1.39,0.26
926/929,21.7445,,1.53,0.82
1090,21.7483,CIBS,2.38,0.89
926/929,21.7484,,1.66,0.91
926/929,21.7484,,1.64,0.85
926/929,21.7524,,1.66,1.10
1090,21.7525,CIBS,1.66,0.32
926/929,21.7564,,1.46,1.11
1090,21.7609,CIBS,1.83,0.80
747,21.7623,CIB,2.16,1.03
747,21.7623,CIB,2.16,0.89
1090,21.7651,CIBS,1.95,0.52
1218,21.7740,Cibicidoides spp.,2.21,1.06
926/929,21.7762,,1.52,1.05
926/929,21.7799,,1.66,0.87
1218,21.7800,Cibicidoides spp.,2.22,1.08
1090,21.782,CIBS,2.02,0.77
926/929,21.7835,,1.93,1.19
1090,21.7862,CIBS,2.33,0.95
926/929,21.7871,,1.90,1.05
1090,21.7904,CIBS,2.17,0.61
926/929,21.7907,,1.85,1.27
926/929,21.7943,,1.63,1.28
1090,21.7946,CIBS,2.54,1.35
926/929,21.7972,,1.59,1.24
588,21.7974,,1.95,1.07
1090,21.7988,CIBS,2.17,1.22
926/929,21.8015,,1.80,1.37
1090,21.803,CIBS,2.35,1.24
926/929,21.8052,,1.74,1.29
1218,21.8060,Cibicidoides spp.,,0.56
926/929,21.8088,,1.81,1.21
926/929,21.8124,,1.74,1.18
926/929,21.8160,,1.56,1.10
926/929,21.8196,,1.87,1.18
926/929,21.8233,,1.85,1.23
926/929,21.8269,,1.90,1.20
926/929,21.8306,,1.94,1.23
926/929,21.8343,,1.79,1.10
926/929,21.8380,,1.74,1.16
1218,21.8390,Cibicidoides spp.,2.34,0.87
77,21.8397,CIB,2.11,1.05
926/929,21.8416,,1.82,1.30
608,21.8433,CIB,1.94,0.58
926/929,21.8453,,1.84,1.40
926/929,21.8490,,1.75,1.29
926/929,21.8515,,1.68,1.32
926/929,21.8559,,1.77,1.25
926/929,21.8593,,1.86,1.26
926/929,21.8631,,1.98,1.35
926/929,21.8661,,1.88,1.27
926/929,21.8694,,2.02,1.15
926/929,21.8728,,1.92,1.42
926/929,21.8761,,1.92,1.43
1218,21.8780,Cibicidoides spp.,2.09,0.50
1090,21.8788,CIBS,2.47,1.42
926/929,21.8794,,1.88,1.42
926/929,21.8828,,1.91,1.47
1090,21.8831,CIBS,2.31,1.25
926/929,21.8861,,1.85,1.37
926/929,21.8893,,1.88,1.28
1090,21.8915,CIBS,2.43,0.93
926/929,21.8926,,1.82,1.08
1090,21.8957,CIBS,2.38,0.97
926/929,21.8959,,1.91,1.16
926/929,21.8991,,1.98,1.25
1090,21.9007,CIBS,2.54,1.06
926/929,21.9014,,1.87,1.21
926/929,21.9043,,2.10,1.24
588,21.9055,,1.77,0.68
926/929,21.9067,,1.87,1.19
926/929,21.9092,,1.91,1.27
926/929,21.9116,,1.77,1.44
1090,21.9134,CIBS,2.31,1.67
926/929,21.9140,,1.80,1.41
1090,21.9176,CIBS,2.32,0.99
926/929,21.9191,,1.73,1.31
1090,21.9218,CIBS,2.21,0.83
926/929,21.9220,,1.75,1.30
926/929,21.9248,,1.90,1.24
1218,21.9260,Cibicidoides spp.,2.39,0.83
926/929,21.9277,,1.95,1.27
1090,21.93,CIBS,2.29,0.79
926/929,21.9305,,1.94,1.26
926/929,21.9333,,1.87,1.24
1090,21.9337,CIBS,2.63,0.80
926/929,21.9362,,1.99,1.32
1090,21.9375,CIBS,2.54,1.54
926/929,21.9390,,2.22,1.19
1090,21.9413,CIBS,2.64,0.95
926/929,21.9415,,2.19,1.22
1090,21.945,CIBS,2.66,1.13
926/929,21.9459,,1.96,1.15
1090,21.9488,CIBS,2.62,0.84
926/929,21.9495,,1.81,1.26
1090,21.9526,CIBS,2.56,1.36
926/929,21.9531,,1.88,1.21
1090,21.9564,CIBS,2.49,1.27
926/929,21.9567,,1.75,1.35
1090,21.9601,CIBS,2.41,0.90
926/929,21.9603,,1.79,1.32
1090,21.9631,CIBS,2.31,0.72
926/929,21.9639,,1.83,1.30
926/929,21.9675,,1.88,1.23
1090,21.9677,CIBS,2.23,1.26
1090,21.9707,CIBS,2.56,1.02
926/929,21.9712,,1.86,1.13
926/929,21.9748,,1.83,1.09
1218,21.9750,Cibicidoides spp.,2.53,0.87
1090,21.9752,CIBS,2.34,0.75
926/929,21.9784,,1.83,0.91
1090,21.979,CIBS,2.46,0.95
926/929,21.9820,,1.82,0.84
926/929,21.9856,,1.92,0.88
77,21.9863,CIB,1.73,0.83
1090,21.9873,CIBS,2.46,1.04
926/929,21.9895,,1.97,0.80
1090,21.9903,CIBS,2.35,1.50
926/929,21.9937,,1.84,0.97
1090,21.9941,CIBS,2.23,1.21
926/929,21.9971,,1.73,1.05
1090,22.0016,CIBS,2.11,0.47
926/929,22.0021,,1.51,0.89
754,22.0058,CIB,1.61,1.50
1090,22.0063,CIBS,2.06,0.43
926/929,22.0063,,1.56,1.01
926/929,22.0101,,1.62,1.17
1090,22.0107,CIBS,2.41,1.36
926/929,22.0134,,1.70,1.03
926/929,22.0168,,1.79,0.96
926/929,22.0201,,1.79,0.95
1090,22.0225,CIBS,2.34,0.86
926/929,22.0234,,1.79,0.88
1218,22.0240,Cibicidoides spp.,2.09,1.05
926/929,22.0268,,1.75,0.91
