Site,Age (Ma),Genus,d18O,d13C
806,0.2480,CIB,4.37,-0.32
849,0.2480,CIB,4.25,-0.34
607,0.2493,CIB,4.70,-0.03
607,0.2515,CIB,4.64,0.50
659,0.2520,CIB,4.57,
806,0.2520,CIB,4.31,-0.31
849,0.2520,CIB,4.31,-0.32
607,0.2535,CIB,4.44,0.28
659,0.2550,CIB,4.67,
607,0.2557,CIB,4.38,0.50
806,0.2560,CIB,4.20,-0.32
849,0.2560,CIB,4.33,-0.35
607,0.2576,CIB,4.47,0.47
806,0.2590,CIB,4.25,-0.42
607,0.2599,CIB,4.12,-0.39
659,0.2600,CIB,4.41,
849,0.2600,CIB,4.36,-0.43
607,0.2619,CIB,4.39,0.33
607,0.2627,CIB,3.55,0.74
806,0.2630,CIB,4.16,-0.62
659,0.2640,CIB,4.80,
849,0.2640,CIB,4.38,-0.41
607,0.2651,CIB,4.14,-0.30
659,0.2660,CIB,4.62,
607,0.2669,CIB,4.43,-0.15
806,0.2670,CIB,4.29,-0.52
849,0.2680,CIB,4.44,-0.42
607,0.2697,CIB,4.29,0.44
659,0.2700,CIB,4.44,
659,0.2720,CIB,4.61,
849,0.2720,CIB,4.44,-0.47
607,0.2724,CIB,4.03,0.91
806,0.2730,CIB,3.92,-0.19
607,0.2752,CIB,3.86,0.77
659,0.2760,CIB,4.43,
849,0.2760,CIB,4.31,-0.40
607,0.2779,CIB,3.85,0.68
806,0.2780,CIB,3.61,-0.10
849,0.2800,CIB,4.08,-0.25
607,0.2825,CIB,3.99,-0.32
659,0.2830,CIB,4.10,
806,0.2840,CIB,3.58,-0.25
849,0.2840,CIB,3.95,-0.16
659,0.2870,CIB,3.73,
607,0.2872,CIB,4.22,0.13
849,0.2880,CIB,3.96,-0.16
806,0.2900,CIB,3.47,-0.31
659,0.2910,CIB,3.83,
849,0.2920,CIB,4.08,-0.27
659,0.2940,CIB,4.35,
607,0.2941,CIB,4.25,0.54
806,0.2960,CIB,4.04,-0.25
849,0.2960,CIB,4.09,-0.30
607,0.2965,CIB,4.19,0.69
659,0.2990,CIB,4.61,
659,0.3000,CIB,4.41,
849,0.3000,CIB,4.08,-0.27
607,0.3018,CIB,3.90,0.36
659,0.3030,CIB,4.35,
849,0.3040,CIB,4.09,-0.21
659,0.3050,CIB,3.83,
607,0.3059,CIB,3.88,0.49
659,0.3080,CIB,3.67,
849,0.3080,CIB,3.94,-0.23
607,0.3105,CIB,3.57,0.39
659,0.3120,CIB,3.29,
849,0.3120,CIB,3.75,-0.25
607,0.3152,CIB,3.51,0.72
659,0.3160,CIB,4.04,
849,0.3160,CIB,3.74,-0.14
806,0.3180,CIB,3.60,-0.18
607,0.3199,CIB,3.09,0.56
659,0.3200,CIB,4.18,
849,0.3200,CIB,3.70,-0.03
659,0.3220,CIB,3.25,
849,0.3240,CIB,3.56,0.06
607,0.3245,CIB,2.93,0.51
806,0.3250,CIB,3.05,0.01
659,0.3270,CIB,3.58,
849,0.3280,CIB,3.39,0.10
607,0.3292,CIB,3.24,0.71
659,0.3310,CIB,3.29,
849,0.3320,CIB,3.41,0.01
806,0.3330,CIB,3.31,-0.18
607,0.3338,CIB,3.53,-0.12
659,0.3350,CIB,3.82,
849,0.3360,CIB,3.77,-0.13
607,0.3387,CIB,3.81,-0.43
806,0.3400,CIB,4.07,-0.30
849,0.3400,CIB,4.24,-0.20
607,0.3405,CIB,4.77,-0.27
659,0.3410,CIB,4.53,
659,0.3430,CIB,4.85,
806,0.3440,CIB,3.64,-0.15
849,0.3440,CIB,4.56,-0.22
607,0.3442,CIB,4.52,-0.43
659,0.3460,CIB,4.79,
607,0.3470,CIB,4.40,-0.06
849,0.3480,CIB,4.60,-0.25
659,0.3490,CIB,4.49,
806,0.3490,CIB,4.14,-0.46
607,0.3503,CIB,4.71,0.14
849,0.3520,CIB,4.45,-0.31
659,0.3530,CIB,4.79,
806,0.3530,CIB,4.33,-0.51
607,0.3536,CIB,4.37,0.83
659,0.3550,CIB,4.25,
659,0.3560,CIB,4.72,
806,0.3560,CIB,4.23,-0.49
849,0.3560,CIB,4.40,-0.30
607,0.3569,CIB,4.12,-0.49
659,0.3570,CIB,4.61,
659,0.3600,CIB,4.10,
806,0.3600,CIB,4.11,-0.49
849,0.3600,CIB,4.34,-0.25
607,0.3602,CIB,4.44,-0.28
659,0.3620,CIB,4.35,
806,0.3630,CIB,3.88,-0.30
849,0.3640,CIB,4.21,-0.18
