GEO_ID	NAME	B23006_001E	B23006_001M	B23006_002E	B23006_002M	B23006_003E	B23006_003M	B23006_004E	B23006_004M	B23006_005E	B23006_005M	B23006_006E	B23006_006M	B23006_007E	B23006_007M	B23006_008E	B23006_008M	B23006_009E	B23006_009M	B23006_010E	B23006_010M	B23006_011E	B23006_011M	B23006_012E	B23006_012M	B23006_013E	B23006_013M	B23006_014E	B23006_014M	B23006_015E	B23006_015M	B23006_016E	B23006_016M	B23006_017E	B23006_017M	B23006_018E	B23006_018M	B23006_019E	B23006_019M	B23006_020E	B23006_020M	B23006_021E	B23006_021M	B23006_022E	B23006_022M	B23006_023E	B23006_023M	B23006_024E	B23006_024M	B23006_025E	B23006_025M	B23006_026E	B23006_026M	B23006_027E	B23006_027M	B23006_028E	B23006_028M	B23006_029E	B23006_029M
310M400US25740	Helena, MT Micro Area	40740	989	1952	775	873	504	0	172	873	504	873	504	0	172	1079	517	8273	1236	6648	1235	0	172	6648	1235	6312	1235	336	405	1625	538	13920	1501	11516	1346	243	342	11273	1306	11032	1315	241	221	2404	681	16595	1555	14203	1592	0	172	14203	1592	13968	1603	235	266	2392	605
310M400US10780	Alexandria, LA Metro Area	78606	1116	10963	1895	5103	1339	0	217	5103	1339	4646	1243	457	396	5860	1279	31646	2980	21398	2835	0	217	21398	2835	19996	2587	1402	822	10248	2020	20806	2975	15362	2653	306	336	15056	2662	13914	2537	1142	673	5444	1342	15191	2335	13226	2240	66	114	13160	2228	12585	2129	575	578	1965	767
310M400US17820	Colorado Springs, CO Metro Area	385693	1308	24374	3368	15646	2572	0	204	15646	2572	14508	2378	1138	799	8728	1732	72265	4788	54787	4364	1473	578	53314	4454	49532	4315	3782	1102	17478	2379	137705	5049	107851	4719	7755	1210	100096	4621	95722	4574	4374	1413	29854	3386	151349	5693	129359	5309	6259	1248	123100	5176	120099	5242	3001	1019	21990	2066
310M400US21420	Enid, OK Metro Area	30125	1139	3410	1180	2125	1077	0	161	2125	1077	1510	969	615	486	1285	663	10188	1370	7491	1163	0	161	7491	1163	7179	1125	312	253	2697	827	9312	1637	7247	1330	0	161	7247	1330	7057	1329	190	153	2065	813	7215	1386	6177	1193	453	362	5724	1178	5620	1171	104	180	1038	487
310M400US28300	Keene, NH Micro Area	38522	607	2567	821	1656	655	0	192	1656	655	1656	655	0	192	911	448	12441	1376	9987	1329	0	192	9987	1329	9746	1362	241	211	2454	816	11380	1401	9846	1368	0	192	9846	1368	9691	1374	155	218	1534	625	12134	1826	10113	1603	0	192	10113	1603	9539	1466	574	491	2021	652
310M400US28420	Kennewick-Richland, WA Metro Area	146707	1812	23347	2473	14939	1967	0	204	14939	1967	14047	1918	892	494	8408	1726	36473	3235	26596	2894	0	204	26596	2894	24578	2901	2018	833	9877	1831	48094	3319	37490	3608	0	204	37490	3608	36378	3562	1112	583	10604	1813	38793	2828	32616	2490	68	121	32548	2488	31710	2386	838	513	6177	1277
310M400US41620	Salt Lake City, UT Metro Area	638238	1214	55745	5007	39129	3682	0	193	39129	3682	37306	3637	1823	688	16616	2851	146419	6405	115661	5864	0	193	115661	5864	111468	5946	4193	1425	30758	2633	210094	6779	168402	6732	43	71	168359	6730	165591	6650	2768	968	41692	4031	225980	7338	196570	7243	72	121	196498	7238	192430	6986	4068	1517	29410	2757
310M400US45500	Texarkana, TX-AR Metro Area	77968	1782	6872	1430	2432	1034	0	198	2432	1034	2274	1066	158	261	4440	1002	26677	2800	16628	2461	0	198	16628	2461	15882	2350	746	532	10049	1896	29193	2910	20250	2372	0	198	20250	2372	19028	2294	1222	667	8943	1550	15226	1936	11857	1714	0	198	11857	1714	11539	1639	318	335	3369	1068
310M400US10140	Aberdeen, WA Micro Area	36938	831	4689	1290	2102	1025	0	204	2102	1025	1942	938	160	235	2587	894	12640	1812	7052	1675	0	204	7052	1675	6900	1651	152	169	5588	908	15041	1493	9750	1286	115	142	9635	1271	9451	1232	184	205	5291	1011	4568	1060	3228	846	0	204	3228	846	3147	828	81	78	1340	620
310M400US27100	Jackson, MI Metro Area	82581	774	7359	1396	4087	1096	0	172	4087	1096	3491	875	596	430	3272	848	28366	2067	18236	1843	0	172	18236	1843	16782	1738	1454	681	10130	1198	29325	2135	19796	1703	82	140	19714	1665	18894	1716	820	410	9529	1490	17531	1538	15471	1622	68	113	15403	1643	15220	1653	183	178	2060	730
310M400US27980	Kahului-Wailuku-Lahaina, HI Metro Area	89057	1027	6280	2014	4053	1649	0	189	4053	1649	3993	1636	60	134	2227	1031	28441	2647	22565	2378	28	52	22537	2364	21600	2288	937	715	5876	1363	29271	2483	24394	2305	139	199	24255	2342	23195	2272	1060	486	4877	1342	25065	2872	21147	2833	143	154	21004	2811	20711	2819	293	187	3918	998
310M400US29300	LaGrange, GA Micro Area	34445	1006	5539	1458	2470	780	0	226	2470	780	2335	773	135	208	3069	1172	12191	1628	9421	1513	0	226	9421	1513	9321	1521	100	132	2770	692	11697	1784	9775	1764	0	226	9775	1764	9461	1748	314	348	1922	657	5018	969	4044	903	0	226	4044	903	4044	903	0	226	974	437
310M400US31080	Los Angeles-Long Beach-Anaheim, CA Metro Area	7304589	1004	1290335	18031	879421	17248	0	211	879421	17248	832615	16659	46806	4092	410914	8001	1451503	21054	1096792	18336	435	272	1096357	18333	1040293	17661	56064	4010	354711	9394	1978417	22779	1591331	20860	1149	536	1590182	20839	1516823	19874	73359	4851	387086	9603	2584334	24259	2225022	24481	2099	629	2222923	24397	2146480	24216	76443	3913	359312	9114
310M400US41100	St. George, UT Metro Area	75136	1105	5626	1405	2572	1074	0	193	2572	1074	2493	1064	79	130	3054	994	15520	2469	11701	2049	141	232	11560	1997	11189	2001	371	332	3819	1264	31237	2932	21993	2359	0	193	21993	2359	21522	2339	471	363	9244	1992	22753	2460	17330	2153	0	193	17330	2153	17145	2199	185	229	5423	1447
310M400US44620	Stevens Point, WI Micro Area	34290	374	1931	740	1240	591	0	151	1240	591	1024	500	216	278	691	388	10060	1076	7726	1021	0	151	7726	1021	7500	994	226	179	2334	569	10294	986	8357	907	112	178	8245	917	8069	915	176	120	1937	580	12005	1217	10197	1114	0	151	10197	1114	10096	1116	101	140	1808	608
310M400US44660	Stillwater, OK Micro Area	33996	839	2864	980	1771	600	98	176	1673	602	1454	580	219	229	1093	650	9861	1270	6791	1351	0	161	6791	1351	6417	1342	374	245	3070	892	8565	1319	6640	1225	0	161	6640	1225	6320	1206	320	273	1925	801	12706	1383	10281	1410	0	161	10281	1410	10176	1410	105	145	2425	639
310M400US44100	Springfield, IL Metro Area	107831	1110	7907	1365	4850	1192	0	190	4850	1192	3261	897	1589	783	3057	853	28364	2532	21554	2256	28	44	21526	2253	20270	2250	1256	648	6810	1206	35888	2383	30103	2365	103	83	30000	2358	28815	2323	1185	489	5785	1258	35672	2491	31583	2423	70	97	31513	2414	31137	2422	376	272	4089	876
310M400US29200	Lafayette-West Lafayette, IN Metro Area	99227	1239	7321	1486	4828	1062	0	198	4828	1062	4312	944	516	566	2493	957	24274	2159	18536	1920	0	198	18536	1920	18131	1966	405	308	5738	1040	30368	2667	24304	2378	173	160	24131	2385	23330	2416	801	598	6064	1263	37264	2947	31212	2638	0	198	31212	2638	30465	2535	747	528	6052	1264
310M400US20100	Dover, DE Metro Area	90344	705	13173	2195	6838	1620	0	200	6838	1620	6145	1581	693	530	6335	1631	28683	3114	21241	2642	116	146	21125	2637	20931	2587	194	232	7442	1745	26496	2765	21457	2463	1416	719	20041	2431	19082	2418	959	738	5039	1105	21992	2724	19460	2419	323	233	19137	2470	18958	2517	179	209	2532	831
310M400US21820	Fairbanks, AK Metro Area	52910	1325	2464	831	1176	589	0	157	1176	589	1114	565	62	105	1288	565	13579	2008	9398	1649	649	321	8749	1590	7807	1488	942	761	4181	1102	21882	2524	18015	2383	1894	861	16121	2044	15307	2064	814	506	3867	1178	14985	2376	13002	2233	905	488	12097	2139	11989	2138	108	137	1983	657
310M400US34620	Muncie, IN Metro Area	50830	902	5213	1304	3332	967	0	198	3332	967	3005	951	327	294	1881	720	14919	1433	10950	1305	0	198	10950	1305	10071	1322	879	483	3969	961	17379	1651	13798	1526	0	198	13798	1526	13500	1519	298	226	3581	956	13319	1606	11400	1635	0	198	11400	1635	11184	1620	216	225	1919	603
310M400US35660	Niles-Benton Harbor, MI Metro Area	76967	861	7499	1248	4767	988	0	172	4767	988	4099	904	668	350	2732	595	19386	1725	14471	1557	0	172	14471	1557	13803	1564	668	334	4915	910	26758	1942	21196	1862	0	172	21196	1862	20809	1872	387	283	5562	975	23324	2223	20016	2000	0	172	20016	2000	19765	2002	251	157	3308	647
310M400US37100	Oxnard-Thousand Oaks-Ventura, CA Metro Area	444417	719	65957	4202	48160	3961	0	211	48160	3961	46161	4113	1999	760	17797	1825	88135	4741	66173	4353	433	326	65740	4352	62125	4028	3615	1113	21962	2821	147539	5910	119238	5513	1042	454	118196	5533	115253	5486	2943	823	28301	2571	142786	5345	121203	4681	1204	439	119999	4695	116269	4801	3730	955	21583	2077
310M400US40660	Rome, GA Metro Area	48996	1144	8717	1355	3967	941	0	226	3967	941	3967	941	0	226	4750	1167	18555	2599	11190	2180	0	226	11190	2180	10915	2160	275	247	7365	1349	13474	2159	10466	1931	0	226	10466	1931	10084	1911	382	289	3008	915	8250	1629	6800	1332	0	226	6800	1332	6701	1316	99	127	1450	605
310M400US41860	San Francisco-Oakland-Hayward, CA Metro Area	2700249	1636	235306	8533	166125	7897	0	211	166125	7897	158455	7603	7670	1660	69181	3672	399834	11433	305147	10576	282	226	304865	10558	292817	10656	12048	2069	94687	4888	623568	12394	498691	12135	860	477	497831	12118	475249	11627	22582	2801	124877	6221	1441541	11653	1267703	11434	526	326	1267177	11450	1233219	11994	33958	3431	173838	6638
310M400US43060	Shawnee, OK Micro Area	36622	408	3904	685	1929	436	0	161	1929	436	1686	402	243	145	1975	488	12730	1264	8078	1022	0	161	8078	1022	7789	1011	289	224	4652	799	12418	1038	9008	979	15	26	8993	982	8908	972	85	81	3410	686	7570	980	6498	901	0	161	6498	901	6443	894	55	90	1072	397
310M400US13220	Beckley, WV Metro Area	59768	1284	7171	1291	1828	667	0	201	1828	667	1516	596	312	302	5343	1183	23823	2052	14197	1750	0	201	14197	1750	13278	1651	919	524	9626	1465	18191	2262	13286	2081	108	182	13178	2081	12544	2007	634	378	4905	981	10583	1588	8390	1302	0	201	8390	1302	8165	1291	225	225	2193	867
310M400US18300	Coos Bay, OR Micro Area	31372	677	4143	1400	2808	1062	0	207	2808	1062	2720	1050	88	90	1335	639	8404	1514	5684	1167	0	207	5684	1167	5622	1162	62	55	2720	865	14207	1585	9808	1276	0	207	9808	1276	9517	1278	291	238	4399	1017	4618	1134	3488	976	90	148	3398	957	3212	947	186	259	1130	748
310M400US20260	Duluth, MN-WI Metro Area	139947	801	7185	1143	3948	967	0	198	3948	967	3031	828	917	472	3237	681	34076	2145	23694	1822	0	198	23694	1822	22292	1687	1402	513	10382	1372	57890	2328	44944	2257	397	295	44547	2273	42882	2329	1665	632	12946	1607	40796	2306	35471	2220	208	149	35263	2272	34852	2261	411	235	5325	825
310M400US22660	Fort Collins, CO Metro Area	177674	941	9392	2144	6172	1662	0	204	6172	1662	5808	1563	364	344	3220	1303	26687	2606	20970	2381	0	204	20970	2381	20099	2362	871	411	5717	1225	56287	3325	45659	3357	186	236	45473	3371	43954	3452	1519	648	10628	1438	85308	3968	72955	3861	137	155	72818	3882	71361	3902	1457	623	12353	1540
310M400US41700	San Antonio-New Braunfels, TX Metro Area	1303492	2993	177205	8062	108307	6769	182	221	108125	6756	100939	6328	7186	2166	68898	4493	355357	11541	253736	9777	688	537	253048	9846	241646	9520	11402	2087	101621	6098	407302	10716	317461	10728	5564	1371	311897	10478	300224	10326	11673	2424	89841	6009	363628	9658	312751	9848	5922	1266	306829	10016	297228	9746	9601	2027	50877	3171
310M400US43140	Shelby, NC Micro Area	49421	992	7928	1475	3549	1087	0	210	3549	1087	3005	987	544	516	4379	1213	15355	2285	9671	1692	0	210	9671	1692	9512	1670	159	146	5684	1639	17160	2257	12991	1891	0	210	12991	1891	12469	1958	522	439	4169	1499	8978	1457	7524	1427	0	210	7524	1427	7240	1437	284	279	1454	709
310M400US12020	Athens-Clarke County, GA Metro Area	99133	2242	9398	1532	5268	1209	0	226	5268	1209	4699	1136	569	390	4130	1088	23248	2446	17222	2276	0	226	17222	2276	15693	2086	1529	652	6026	1276	24844	2456	19428	2233	0	226	19428	2233	18974	2282	454	386	5416	1517	41643	2901	35696	2746	92	157	35604	2765	35261	2748	343	301	5947	1235
310M400US17220	Clarksburg, WV Micro Area	47575	2180	4916	1387	2002	679	0	201	2002	679	1739	625	263	233	2914	1098	20654	2409	14318	2186	0	201	14318	2186	13313	1981	1005	720	6336	1302	12517	1576	9075	1472	0	201	9075	1472	8777	1468	298	237	3442	845	9488	1604	8393	1521	0	201	8393	1521	8251	1526	142	212	1095	444
310M400US41900	San Germán, PR Metro Area	56499	2232	10036	1751	1906	836	0	228	1906	836	1332	595	574	386	8130	1653	16251	2394	7434	1698	0	228	7434	1698	6031	1508	1403	664	8817	1750	13517	1851	7847	1448	0	228	7847	1448	6126	1191	1721	1073	5670	1770	16695	2205	12199	1979	0	228	12199	1979	11296	1890	903	685	4496	1281
310M400US46300	Twin Falls, ID Metro Area	53525	1459	9004	1649	6377	1615	0	204	6377	1615	6283	1624	94	113	2627	1101	14821	1944	11015	1749	0	204	11015	1749	10517	1789	498	402	3806	1015	18794	1959	15354	1867	0	204	15354	1867	15122	1781	232	273	3440	959	10906	1660	9103	1662	0	204	9103	1662	9093	1664	10	18	1803	679
310M400US17340	Clearlake, CA Micro Area	32286	1221	5503	1385	3136	969	0	211	3136	969	2631	917	505	466	2367	896	8718	1620	5568	1432	0	211	5568	1432	5311	1372	257	213	3150	1027	12743	1840	8788	1717	0	211	8788	1717	8275	1734	513	336	3955	926	5322	1255	4433	1183	0	211	4433	1183	4377	1176	56	93	889	570
310M400US18880	Crestview-Fort Walton Beach-Destin, FL Metro Area	145131	1988	12766	1998	6558	1327	0	229	6558	1327	5660	1216	898	804	6208	1566	37589	3371	27328	2888	415	319	26913	2901	25792	2883	1121	594	10261	1838	49832	4038	37222	3531	3754	1255	33468	3448	32302	3318	1166	514	12610	1959	44944	4101	36340	3725	2820	758	33520	3692	32688	3634	832	407	8604	1288
310M400US22900	Fort Smith, AR-OK Metro Area	142412	1502	23060	2277	12318	1581	0	198	12318	1581	11759	1508	559	336	10742	1551	46005	2855	30201	2613	0	198	30201	2613	29548	2660	653	369	15804	1646	46127	2880	33296	2772	31	46	33265	2770	32241	2807	1024	520	12831	1662	27220	2412	22536	2179	38	48	22498	2180	22333	2177	165	158	4684	1133
310M400US25180	Hagerstown-Martinsburg, MD-WV Metro Area	143014	1864	14526	2393	8190	1611	0	198	8190	1611	7666	1478	524	558	6336	1537	50070	3291	36656	2884	0	198	36656	2884	34394	2894	2262	810	13414	2253	47344	3282	36986	3031	85	117	36901	3030	35375	3125	1526	789	10358	1980	31074	3152	25219	2775	90	158	25129	2779	24533	2783	596	387	5855	1399
310M400US27260	Jacksonville, FL Metro Area	818611	2558	73375	5222	42752	4542	0	229	42752	4542	38439	4256	4313	1367	30623	3188	219695	11064	164752	9671	839	457	163913	9683	156173	9514	7740	1736	54943	4866	261458	8115	207980	7826	3819	994	204161	7761	192965	7307	11196	2434	53478	4584	264083	10970	225662	9773	3182	1144	222480	9872	217489	9889	4991	1328	38421	3777
310M400US30620	Lima, OH Metro Area	50577	839	3638	1045	1560	630	0	195	1560	630	1183	470	377	340	2078	731	18487	1952	13937	1743	0	195	13937	1743	13610	1772	327	303	4550	838	19516	1794	16712	1674	0	195	16712	1674	16093	1613	619	364	2804	738	8936	1117	7584	1025	0	195	7584	1025	7331	1023	253	239	1352	495
310M400US38820	Port Angeles, WA Micro Area	36646	712	2542	780	1434	626	0	204	1434	626	1396	626	38	51	1108	604	8977	1378	6716	1339	0	204	6716	1339	6423	1293	293	219	2261	718	15009	1731	10743	1448	270	348	10473	1368	9954	1390	519	310	4266	892	10118	1623	7443	1348	128	134	7315	1336	7082	1326	233	208	2675	899
310M400US39900	Reno, NV Metro Area	249835	1098	26904	2365	19413	2230	0	211	19413	2230	18655	2139	758	643	7491	1606	61984	3582	48341	3230	0	211	48341	3230	46129	3155	2212	922	13643	2052	82781	3749	67837	3402	586	522	67251	3367	64993	3359	2258	931	14944	1684	78166	4257	66826	3730	88	102	66738	3746	65383	3675	1355	617	11340	1580
