STATION,STATION_NAME,DATE,EMXT,EMNT
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19771001,189,-33
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19771101,178,-206
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19771201,100,-261
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19780101,17,-244
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19780201,22,-228
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19780301,272,-206
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19780401,239,-44
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19780501,333,-72
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19780601,333,56
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19780701,322,78
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19780801,328,67
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19780901,361,11
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19781001,250,-44
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19781101,228,-156
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19781201,56,-228
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19790101,-17,-333
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19790201,44,-294
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19790301,183,-161
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19790401,239,-111
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19790501,300,-22
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19790601,317,22
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19790701,317,56
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19790801,328,28
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19790901,306,6
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19791001,272,-72
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19791101,194,-128
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19791201,128,-194
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19800101,89,-217
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19800201,39,-244
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19800301,128,-200
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19800401,344,-56
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19800501,317,-17
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19800601,356,28
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19800701,372,83
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19800801,344,100
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19800901,306,-6
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19801001,250,-89
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19801101,178,-94
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19801201,83,-217
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19810101,128,-228
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19810201,161,-233
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19810301,278,-111
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19810401,272,-78
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19810501,283,-44
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19810601,317,78
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19810701,344,83
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19810801,300,61
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19810901,294,22
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19811001,211,-78
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19811101,200,-133
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19811201,94,-194
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19820101,22,-322
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19820201,78,-272
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19820301,200,-217
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19820401,233,-178
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19820501,294,11
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19820601,283,17
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19820701,328,72
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19820801,344,33
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19820901,300,-6
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19821001,294,-83
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19821101,172,-128
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19821201,167,-172
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19830101,33,-217
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19830201,117,-244
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19830301,211,-150
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19830401,261,-89
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19830501,250,-39
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19830601,333,22
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19830701,344,56
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19830801,361,67
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19830901,317,6
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19831001,278,-50
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19831101,167,-100
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19831201,22,-317
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19840101,50,-283
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19840201,156,-194
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19840301,100,-194
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19840401,267,-56
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19840501,256,-6
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19840601,300,61
